Modelo,Categoria,FraseID,Texto,NumPalavras,Latência (s),WER,Transcrição Whisper,Arquivo,Status,Throughput,CER,WER_zero,Log_Latencia
Piper,curtas_objetivas,curtas_objetivas_01,Bom dia.,2,0.165,0.5,bom dia!,audios_tcc/piper_curtas_objetivas_curtas_objetivas_01.wav,OK,48.484848484848484,0.25,False,0.1527210870176639
Kokoro,curtas_objetivas,curtas_objetivas_01,Bom dia.,2,1.021,0.5,bom dia!,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_01.wav,OK,7.8354554358472095,0.25,False,0.7035924384214839
XTTS,curtas_objetivas,curtas_objetivas_01,Bom dia.,2,10.54,1.0,bom dia! muito!,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_01.wav,OK,0.7590132827324478,1.125,False,2.4458192610799534
Piper,curtas_objetivas,curtas_objetivas_02,A porta está aberta.,4,0.22,0.0,a porta está aberta.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_02.wav,OK,90.9090909090909,0.05,True,0.1988508587451652
Kokoro,curtas_objetivas,curtas_objetivas_02,A porta está aberta.,4,1.833,0.0,a porta está aberta.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_02.wav,OK,10.911074740861975,0.05,True,1.0413362208483794
XTTS,curtas_objetivas,curtas_objetivas_02,A porta está aberta.,4,9.531,0.0,a porta está aberta.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_02.wav,OK,2.098415696149407,0.05,True,2.35432328839846
Piper,curtas_objetivas,curtas_objetivas_03,O sistema iniciou corretamente.,4,0.286,0.0,o sistema iniciou corretamente.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_03.wav,OK,108.3916083916084,0.03225806451612903,True,0.25153662581542763
Kokoro,curtas_objetivas,curtas_objetivas_03,O sistema iniciou corretamente.,4,2.074,0.0,o sistema iniciou corretamente.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_03.wav,OK,14.946962391513983,0.03225806451612903,True,1.122979645116404
XTTS,curtas_objetivas,curtas_objetivas_03,O sistema iniciou corretamente.,4,18.58,0.25,o sistema iniciou corretamente.poata.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_03.wav,OK,1.668460710441335,0.22580645161290322,False,2.9745086371023644
Piper,curtas_objetivas,curtas_objetivas_04,Hoje o céu está limpo.,5,0.228,0.0,hoje o céu está limpo.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_04.wav,OK,96.49122807017544,0.045454545454545456,True,0.20538682972495073
Kokoro,curtas_objetivas,curtas_objetivas_04,Hoje o céu está limpo.,5,1.47,0.0,hoje o céu está limpo.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_04.wav,OK,14.965986394557824,0.045454545454545456,True,0.9042181506398859
XTTS,curtas_objetivas,curtas_objetivas_04,Hoje o céu está limpo.,5,7.827,0.0,hoje o céu está limpo.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_04.wav,OK,2.8107831864060304,0.045454545454545456,True,2.1778152060380958
Piper,curtas_objetivas,curtas_objetivas_05,Maria chegou cedo.,3,0.204,0.3333,maria chegou o cedo.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_05.wav,OK,88.23529411764706,0.16666666666666666,False,0.1856493468866293
Kokoro,curtas_objetivas,curtas_objetivas_05,Maria chegou cedo.,3,1.679,0.3333,maria chegou o cedo.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_05.wav,OK,10.72066706372841,0.16666666666666666,False,0.9854435905624717
XTTS,curtas_objetivas,curtas_objetivas_05,Maria chegou cedo.,3,7.349,0.3333,maria chegou o cedo.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_05.wav,OK,2.449312831677779,0.16666666666666666,False,2.1221417712118633
Piper,curtas_objetivas,curtas_objetivas_06,O arquivo foi salvo.,4,0.296,0.0,o arquivo foi salvo.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_06.wav,OK,67.56756756756756,0.05,True,0.25928259793008296
Kokoro,curtas_objetivas,curtas_objetivas_06,O arquivo foi salvo.,4,1.451,0.0,o arquivo foi salvo.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_06.wav,OK,13.783597518952446,0.05,True,0.8964961045459756
XTTS,curtas_objetivas,curtas_objetivas_06,O arquivo foi salvo.,4,9.171,0.0,o arquivo foi salvo.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_06.wav,OK,2.1807872642023773,0.05,True,2.319540533643459
Piper,curtas_objetivas,curtas_objetivas_07,A aula começa agora.,4,0.215,0.0,a aula começa agora.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_07.wav,OK,93.02325581395348,0.05,True,0.19474407679251177
Kokoro,curtas_objetivas,curtas_objetivas_07,A aula começa agora.,4,1.453,0.0,a aula começa agora.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_07.wav,OK,13.764624913971094,0.05,True,0.8973117652763523
XTTS,curtas_objetivas,curtas_objetivas_07,A aula começa agora.,4,8.389,0.0,a aula começa agora.,audios_tcc/xtts_curtas_objetivas_curtas_objetivas_07.wav,OK,2.3840743831207534,0.05,True,2.23953879127641
Piper,curtas_objetivas,curtas_objetivas_08,Este teste foi concluído.,4,0.259,0.25,esse teste foi concluído.,audios_tcc/piper_curtas_objetivas_curtas_objetivas_08.wav,OK,96.52509652509652,0.08,False,0.2303177550622101
Kokoro,curtas_objetivas,curtas_objetivas_08,Este teste foi concluído.,4,1.887,0.0,este teste foi concluído.,audios_tcc/kokoro_curtas_objetivas_curtas_objetivas_08.wav,OK,13.248542660307367,0.04,True,1.0602179006807981
