Modelo,Categoria,Qtde,Latencia_media,WER_medio
Kokoro,curtas_objetivas,10,1.6679,0.1033
Kokoro,datas_horarios,10,4.6147,0.0688
Kokoro,enderecos_urls_emails,10,4.1366,0.5079
Kokoro,ingles_e_code_switching,10,3.2695,0.1701
Kokoro,interrogativas_e_exclamativas,10,3.0744,0.1619
Kokoro,longas_narrativas,10,11.6987,0.0467
Kokoro,medias_informativas,10,5.0952,0.0357
Kokoro,nomes_internacionais,10,3.2715,0.397
Kokoro,nomes_proprios_brasileiros,10,3.1542,0.1369
Kokoro,numeros_medidas_moedas,10,4.3428,0.1968
Kokoro,pontuacao_e_pausas,10,3.5062,0.2354
Kokoro,regionalismos_e_girias,10,3.0822,0.1163
Kokoro,siglas_e_abreviacoes,10,3.6434,0.1521
Kokoro,termos_tecnicos_academicos,10,5.3885,0.1451
Piper,curtas_objetivas,10,0.2357,0.1083
Piper,datas_horarios,10,0.5515,0.1142
Piper,enderecos_urls_emails,10,0.5917,0.3306
Piper,ingles_e_code_switching,10,0.4302,0.2614
Piper,interrogativas_e_exclamativas,10,0.4078,0.1355
Piper,longas_narrativas,10,1.427,0.1036
Piper,medias_informativas,10,0.6459,0.0874
Piper,nomes_internacionais,10,0.399,0.5089
Piper,nomes_proprios_brasileiros,10,0.4076,0.2236
Piper,numeros_medidas_moedas,10,0.5882,0.1104
Piper,pontuacao_e_pausas,10,0.4755,0.1938
Piper,regionalismos_e_girias,10,0.4514,0.0889
Piper,siglas_e_abreviacoes,10,0.4954,0.1699
Piper,termos_tecnicos_academicos,10,0.6507,0.1503
XTTS,curtas_objetivas,10,10.1854,0.1833
XTTS,datas_horarios,10,26.1528,0.1527
XTTS,enderecos_urls_emails,10,27.4231,0.4219
XTTS,ingles_e_code_switching,10,20.9453,0.2151
XTTS,interrogativas_e_exclamativas,10,15.6939,0.1567
XTTS,longas_narrativas,10,70.1774,0.074
XTTS,medias_informativas,10,30.9651,0.1506
XTTS,nomes_internacionais,10,20.1498,0.319
XTTS,nomes_proprios_brasileiros,10,17.4168,0.2694
XTTS,numeros_medidas_moedas,10,25.3464,0.1879
XTTS,pontuacao_e_pausas,10,21.4253,0.1786
XTTS,regionalismos_e_girias,10,19.1242,0.1898
XTTS,siglas_e_abreviacoes,10,23.5492,0.2186
XTTS,termos_tecnicos_academicos,10,33.8072,0.1918
